time,num_points,num_threads,test_type
19.405,20000,1,serial
19.669,20000,1,serial
19.621,20000,1,serial
80.63,40000,1,serial
83.059,40000,1,serial
93.226,40000,1,serial
342.047,80000,1,serial
327.921,80000,1,serial
327.968,80000,1,serial
736.037,120000,1,serial
737.889,120000,1,serial
738.241,120000,1,serial
1006.64,140000,1,serial
1003.87,140000,1,serial
1011.25,140000,1,serial
1359.12,160000,1,serial
1337.09,160000,1,serial
1332.15,160000,1,serial
1699.39,180000,1,serial
1693.84,180000,1,serial
1696.07,180000,1,serial
2090.29,200000,1,serial
2092.37,200000,1,serial
2093.36,200000,1,serial
19.759,20000,1,paralelo
19.18,20000,1,paralelo
20.641,20000,1,paralelo
8.952,20000,4,paralelo
9.171,20000,4,paralelo
9.014,20000,4,paralelo
8.75,20000,8,paralelo
8.702,20000,8,paralelo
9.468,20000,8,paralelo
10.359,20000,16,paralelo
10.499,20000,16,paralelo
10.232,20000,16,paralelo
78.774,40000,1,paralelo
81.838,40000,1,paralelo
81.673,40000,1,paralelo
38.387,40000,4,paralelo
34.34,40000,4,paralelo
40.991,40000,4,paralelo
35.713,40000,8,paralelo
36.727,40000,8,paralelo
35.009,40000,8,paralelo
35.211,40000,16,paralelo
38.806,40000,16,paralelo
35.558,40000,16,paralelo
331.51,80000,1,paralelo
333.21,80000,1,paralelo
332.288,80000,1,paralelo
150.013,80000,4,paralelo
149.052,80000,4,paralelo
153.227,80000,4,paralelo
140.448,80000,8,paralelo
140.999,80000,8,paralelo
143.108,80000,8,paralelo
137.477,80000,16,paralelo
138.707,80000,16,paralelo
140.002,80000,16,paralelo
749.386,120000,1,paralelo
738.766,120000,1,paralelo
737.758,120000,1,paralelo
334.148,120000,4,paralelo
335.262,120000,4,paralelo
335.116,120000,4,paralelo
312.232,120000,8,paralelo
311.514,120000,8,paralelo
312.752,120000,8,paralelo
306.091,120000,16,paralelo
309.136,120000,16,paralelo
304.964,120000,16,paralelo
1009.2,140000,1,paralelo
1007.21,140000,1,paralelo
1015.07,140000,1,paralelo
459.329,140000,4,paralelo
457.976,140000,4,paralelo
454.094,140000,4,paralelo
417.067,140000,8,paralelo
416.771,140000,8,paralelo
420.28,140000,8,paralelo
410.424,140000,16,paralelo
413.076,140000,16,paralelo
415.318,140000,16,paralelo
1333.43,160000,1,paralelo
1330.13,160000,1,paralelo
1335.31,160000,1,paralelo
595.393,160000,4,paralelo
594.672,160000,4,paralelo
594.69,160000,4,paralelo
552.039,160000,8,paralelo
539.779,160000,8,paralelo
527.92,160000,8,paralelo
530.445,160000,16,paralelo
533.53,160000,16,paralelo
534.225,160000,16,paralelo
1677.55,180000,1,paralelo
1664.03,180000,1,paralelo
1672.51,180000,1,paralelo
721.236,180000,4,paralelo
764.306,180000,4,paralelo
769.146,180000,4,paralelo
696.241,180000,8,paralelo
680.646,180000,8,paralelo
703.167,180000,8,paralelo
683.01,180000,16,paralelo
679.798,180000,16,paralelo
672.54,180000,16,paralelo
2114.14,200000,1,paralelo
2097.94,200000,1,paralelo
2094.78,200000,1,paralelo
935.991,200000,4,paralelo
937.223,200000,4,paralelo
935.902,200000,4,paralelo
856.849,200000,8,paralelo
814.47,200000,8,paralelo
831.934,200000,8,paralelo
826.048,200000,16,paralelo
828.669,200000,16,paralelo
824.973,200000,16,paralelo
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
